Rank,Rating,Title,No. of Reviews
1, 99%,The Wizard of Oz (1939),109
2, 100%,The Third Man (1949),76
3, 100%,Citizen Kane (1941),73
4, 97%,Mad Max: Fury Road (2015),357
5, 100%,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920),48
6, 100%,All About Eve (1950),64
7, 99%,The Godfather (1972),84
8, 98%,Inside Out (2015),318
9, 100%,Modern Times (1936),53
10, 99%,Metropolis (1927),115
11, 98%,E.T. The Extra-Terrestrial (1982),112
12, 98%,It Happened One Night (1934),52
13, 100%,Singin' in the Rain (1952),48
14, 97%,Casablanca (1942),73
15, 100%,Laura (1944),60
16, 98%,Boyhood (2014),276
17, 98%,A Hard Day's Night (1964),102
18, 98%,Snow White and the Seven Dwarfs (1937),47
19, 97%,Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922),62
20, 97%,La Grande illusion (Grand Illusion) (1938),63
21, 100%,North by Northwest (1959),64
22, 100%,Repulsion (1965),60
23, 99%,The Battle of Algiers (La Battaglia di Algeri) (1967),80
24, 96%,Gravity (2013),315
25, 98%,King Kong (1933),54
26, 100%,The Maltese Falcon (1941),49
27, 100%,Rear Window (1954),63
28, 100%,The Adventures of Robin Hood (1938),45
29, 100%,Rashômon (1951),49
30, 96%,Psycho (1960),84
31, 96%,12 Years a Slave (2013),304
32, 99%,Toy Story 3 (2010),290
33, 99%,Selma (2015),229
34, 100%,Toy Story 2 (1999),163
35, 98%,Sunset Boulevard (1950),59
36, 100%,The Bride of Frankenstein (1935),41
37, 100%,M (1931),51
38, 100%,The Philadelphia Story (1940),54
39, 96%,Argo (2012),306
40, 96%,Spotlight (2015),292
41, 99%,Taxi Driver (1976),71
42, 100%,The Treasure of the Sierra Madre (1948),45
43, 100%,The 400 Blows (Les Quatre cents coups) (1959),54
44, 98%,Up (2009),285
45, 97%,Alien (1979),102
46, 100%,Seven Samurai (Shichinin no Samurai) (1956),57
47, 98%,Bicycle Thieves (Ladri di biciclette) (1949),56
48, 97%,Army of Shadows (L'Armée des ombres) (1969),73
49, 98%,A Streetcar Named Desire (1951),54
50, 100%,12 Angry Men (Twelve Angry Men) (1957),48
51, 98%,Zootopia (2016),227
52, 99%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),73
53, 98%,The Night of the Hunter (1955),63
54, 94%,Gone With the Wind (1939),81
55, 100%,Rebecca (1940),48
56, 100%,The Conformist (1970),50
57, 100%,Frankenstein (1931),45
58, 99%,Rosemary's Baby (1968),69
59, 99%,Finding Nemo (2003),255
60, 97%,Vertigo (1958),64
61, 96%,Touch of Evil (1958),70
62, 97%,The Good, the Bad and the Ugly (1966),68
63, 98%,The Wrestler (2008),220
64, 99%,L.A. Confidential (1997),108
65, 92%,Star Wars: Episode VII - The Force Awakens (2015),363
66, 98%,The Hurt Locker (2009),256
67, 98%,The 39 Steps (1935),44
68, 94%,The Dark Knight (2008),317
69, 98%,The Babadook (2014),206
70, 93%,Skyfall (2012),347
71, 100%,Open City (1946),40
72, 98%,Hell or High Water (2016),208
73, 100%,Tokyo Story (Tôkyô monogatari) (1953),41
74, 97%,Brooklyn (2015),233
75, 100%,The Last Picture Show (1971),51
76, 95%,Star Trek (2009),333
77, 100%,The Grapes of Wrath (1940),43
78, 100%,Pinocchio (1940),43
79, 100%,The Wages of Fear (1953),40
80, 96%,High Noon (1952),49
81, 98%,On the Waterfront (1954),60
82, 98%,Roman Holiday (1953),52
83, 96%,Harry Potter and the Deathly Hallows - Part 2 (2011),310
84, 100%,Man on Wire (2008),154
85, 100%,Toy Story (1995),78
86, 97%,The Godfather, Part II (1974),72
87, 97%,The Artist (2011),276
88, 100%,Anatomy of a Murder (1959),42
89, 97%,Jaws (1975),74
90, 97%,Lawrence of Arabia (1962),77
91, 100%,Battleship Potemkin (1925),45
92, 100%,The Leopard (1963),45
93, 98%,Chinatown (1974),62
94, 97%,It Follows (2015),219
95, 100%,Cool Hand Luke (1967),47
96, 96%,WALL-E (2008),244
97, 98%,Annie Hall (1977),66
98, 95%,An American in Paris (1951),61
99, 98%,All Quiet on the Western Front (1930),40
100, 98%,The Lady Vanishes (1938),40
